name_rus|name_eng|description|text|keys
"Палубы"|"deck"|"архитектурный элемент судна, горизонтальное перекрытие в корпусе или надстройках, опирающееся на борта, переборки и пиллерсы (при их наличии) и состоящее из набора (бимсов, карлингсов и др.) и настила (обычно деревянного или металлического); разделяет внутреннее пространство корпуса корабля на помещения по вертикали"|"«Титаник» имел восемь палуб: верхнюю — шлюпочную, и под ней семь палуб, обозначенных сверху вниз буквами от А до G. Расстояние между ними варьировалось от 250 до 320 сантиметров. Шлюпочная палуба и палуба А занимали только надстройку, а палуба G захватывала носовую — от котельных отделений до носа, и кормовую — от машинного отделения до среза кормы, части лайнера. Носовой участок палубы G длиной 58 м за счёт седловатости был на 2 м выше ватерлинии около форпика, а к миделю постепенно понижался. Здесь находилось 26 кают для 106 пассажиров третьего класса, остальную площадь занимали багажное и почтовое отделения, а также корт для сквоша. Носовой и кормовой участки нижней палубы разделяло восемь отсеков, в которых находились шесть котельных с угольными бункерами, машинное и турбинное отделения. В кормовой части палубы длиной 64 м располагались продовольственные склады, кладовые и 60 двух-, четырёх- и шестиместных кают для 186 пассажиров третьего класса. Палубы C, D, E и F протягивались по всей длине судна."|"tags";RMS Titanic;Конструкция;Судно
"Переборки"|"bulkheads"|"вертикальная стенка внутри корпуса судна, кроме двойного борта, разделяющая внутреннее пространство на отсеки"|"Корпус «Титаника» был разделён на 16 водонепроницаемых отсеков пятнадцатью переборками, построенными поперёк корабля. Переборки обозначались от носа к корме латинскими буквами от A до P (исключая I). Они поднимались от второго дна и проходили через две или три палубы (переборки A, B, K, L, M, N, O и P доходили в высоту до палубы D, остальные — до E, то есть выше ватерлинии на 3,4 м). Переборки придавали корпусу поперечную прочность. Они были собраны из стальных листов, соединённых внахлёст заклёпками. Для достижения абсолютной герметичности швы заделывались смолой. Толщина листов в нижней части переборки составляла 142 мм, в верхней — 76 мм. Первые две переборки в носовой и последняя в кормовой части были сплошными. Во всех остальных имелись герметичные двери, позволявшие команде и пассажирам передвигаться между отсеками."|"tags";RMS Titanic;Конструкция;Судно;Безопасность
"Двойное дно"|"double_buttom"|"кораблестроительный термин, часть корпуса судна: водонепроницаемый настил, привариваемый к верхним кромкам днищевого набора на расстоянии нескольких футов от основного дна"|"Горизонтальное второе дно располагалось в 160 см над килем и занимало 9/10 длины судна, не захватывая лишь небольшие участки в носовой части и корме. Пространство между наружным днищем и вторым дном было разделено поперечными и продольными перегородками на 46 отсеков, выполняющих функцию танков с балластной и питьевой водой. Для свободного перетока балластной воды часть поперечных перегородок имела кольцевые каналы. Сплошными перегородками междудонное пространство делилось на четыре герметичные камеры. Ячеистая водонепроницаемая структура двойного дна препятствовала проникновению забортной воды в основные отсеки при повреждении внешнего днища. Расположение поперечных перегородок в целом совпадало с основанием переборок в трюме. Только под машинным отделением имелась дополнительная перегородка. Там второе дно поднималось на 1,98 м над килем. На настиле второго дна были установлены котлы, поршневые паровые машины, паровая турбина и электрогенераторы, всё это было прочно закреплено на стальных плитах."|{"tags";RMS Titanic;Конструкция;Судно;Безопасность
"Мачты"|"masts"|"вертикально стоящая конструкция на судне (корабле), обычно поддерживаемая оттяжками, т. н. вaнтами, часть парусного вооружения"|"«Титаник» имел две мачты. Первая располагалась на полубаке, вторая возвышалась над кормовой частью открытого променада палубы А. Расстояние между ними составляло 180 м. Обе мачты были стальными с верхней частью из тика. На передней мачте, на высоте 29 м над ватерлинией, размещалась марсовая площадка («воронье гнездо»), добраться до которой можно было по внутреннему металлическому трапу. Мачты использовались в качестве опор антенны судовой радиостанции. На топ (вершину) кормовой мачты поднимался красный треугольный вымпел компании «Уайт Стар Лайн» с изображением белой пятиконечной звезды."|"tags";RMS Titanic;Конструкция;Судно
"Трубы"|"pipes"|"удлинённая вертикальная или с наклоном в сторону кормы судна конструкция, возвышающаяся над надстройками судна и предназначена для отвода продуктов горения в атмосферу"|"«Титаник» имел четыре эллипсоидных трубы диаметром 7,4 ? 5,7 м, слегка наклонённых к корме. Угол их наклона от вертикали составлял 9,46°. Высота труб различалась на несколько сантиметров и в среднем составляла 22 м, благодаря чему дым не проникал ни на открытые прогулочные палубы, ни в салоны корабля. В равновесии каждую трубу удерживали 12 оттяжек. Дым из котлов отводился через три первые трубы, четвёртая выполняла функцию вытяжного вентилятора. К ней были подведены вентиляционные трубы машинного отделения, судовых кухонь и ресторанов, через неё отводился дым из камина курительного салона первого класса. Вентиляционная шахта под четвёртой трубой служила аварийным выходом из машинного отделения на шлюпочную палубу. На случай эвакуации машинной команды на стенках шахты были предусмотрены вертикальные лестницы. К трубам крепились трёхтональные паровые свистки, но на третьей и четвёртой трубах они были бутафорскими. Свистки приводились в действие с ходового мостика нажатием кнопки. Когда требовалось регулярно подавать сигналы, например, в туманную погоду, использовалась электрическая система контроля, включавшая свисток автоматически на 8 — 10 секунд каждую минуту."|"tags";RMS Titanic;Конструкция;Судно
"Служебные помещения"|"office_space"|"помещения, в которых экипаж постоянно или временно выполняет работу по эксплуатации судна: машинное отделение, ходовой мостик, а также служебно-хозяйственные помещения (фонарная, малярная, шкиперская, плотницкая и некоторые другие)"|"В носовой части шлюпочной палубы находился открытый с обоих бортов капитанский мостик. В нём были установлены пять механических телеграфов: два машинных, швартовный, маневровый и аварийный. С их помощью с капитанского мостика передавались команды в машинное отделение и на кормовой мостик. Механические телеграфы на «Титаник» поставила компания «Дж. У. Рей & К°». Посередине стояли нактоуз и резервный штурвал, который использовался вблизи берега, при прохождении опасных мест или в плохую погоду. На 45 см за фальшборты палубы А по обе стороны выступали смотровые кабины. Внутри них для подачи сигналов имелись кнопки управления паровыми свистками. На крышах обеих кабин устанавливались лампы Морзе, а к их бортам крепились бортовые огни: с правого борта — зелёный, с левого — красный. За ходовым мостиком находилась рулевая рубка, где располагались основной штурвал, нактоуз, кренометр, щиток управления закрытием водонепроницаемых дверей, рулевой указатель, главные тактовые часы, телефоны судовой связи. Слева за рулевой рубкой находилась штурманская рубка, справа — помещение для хранения карт, за ним — апартаменты капитана, включавшие в себя гостиную, спальню и ванную. По обоим бортам носовой части шлюпочной палубы располагались каюты офицеров, выходящие на выделенный только для них участок открытого променада."|"tags";RMS Titanic;Конструкция;Убранство
"Силовая установка"|"power_point"|"энергетический комплекс, предназначенный для получения механической энергии и состоящий из двигательной установки и вспомогательного оснащения к ней"|"Силовая установка «Титаника» состояла из двух четырёхцилиндровых паровых машин тройного расширения, располагавшихся в одиннадцатом отсеке трюма, и паровой турбины низкого давления, которая находилась в двенадцатом отсеке. Паровые машины, высота которых составляла 12 м, а ход поршней — 1,9 м, вращали два крайних винта, а турбина — средний. Использование одновременно паровых машин и турбины обеспечивало отсутствие сильных вибраций при относительно высокой скорости. Впервые «Уайт Стар Лайн» опробовала такую систему на пароходе «Лаурентик» в 1908 году. Все элементы силовой установки «Титаника» ввиду их большой массы (к примеру, поршневой двигатель весил 720 т) были прочно закреплены на стальных плитах."|"tags";RMS Titanic;Конструкция;Судно;Электричество
"Паровые котлы"|"steam_boiler"|"котлы, предназначенные для генерации насыщенного или перегретого пара"|"Пар для турбины, паровых машин, генераторов и вспомогательных механизмов производили 29 жаротрубных котлов — 24 двухпроточных котла и 5 однопроточных. Двухпроточные котлы имели по 3 топки с каждого торца. Топки представляли собой гофрированные трубы, разделённые колосниковой решёткой, на которой сгорал уголь. Раскалённый газ поднимался в расположенные в средней части котла огненные коробки, откуда поступал в дымогарные трубы, выходящие в торцах котла выше топок. К этой части подходили выводы дымоходов, через которые топочные газы попадали в дымовую трубу. Образовавшийся в результате кипения пар поднимался в верхнюю часть котла и по паропроводам поступал в главные, вспомогательные либо аварийную паровые магистрали. Ёмкость двухпроточного котла составляла 48,5 тонн. В котельной № 1 размещались однопроточные котлы, имевшие только 3 топки. Вырабатываемый в них пар шёл на поддержание работы электрогенераторов."|"tags";RMS Titanic;Конструкция;Судно;Электричество
"Румпельная машина"|"tiller_machine"|"элемент корабельного пассивного рулевого устройства, вертикальная пластина (перо руля), поворачивающаяся на оси (баллере) в кормовой подводной части судна."|"101-тонное перо руля высотой 24 м, насаженное на петли, поворачивалось паровой машиной. У кормовой оконечности на палубе С, за салонами третьего класса, по обе стороны от центральной линии, были установлены два румпельных трёхцилиндровых двигателя. В работе находился только один из них, второй использовался только в случае поломки основного. К голове (верхней части) оси рулевого пера — баллера диаметром 60 см, был прикреплён румпельный механизм, представлявший собой зубчатый круговой сектор. Зубья, расположенные по дуге сектора, входили в зацепление с зубчатой шестернёй, которая через редуктор приводилась во вращение от румпельной машины. Чтобы румпель оставался неподвижным во время шторма, его положение фиксировалось жёсткими пружинами. Команды к приводу поступали при помощи гидравлической передачи во время вращения штурвала на капитанском или кормовом мостиках."|"tags";RMS Titanic;Конструкция;Судно
"Электрогенераторы"|"electric_generator"|"устройство, в котором неэлектрические виды энергии преобразуются в электрическую энергию"|"Лайнер был оснащён четырьмя главными электрогенераторами, каждый мощностью 400 киловатт, которые вырабатывали постоянный ток напряжением 100 вольт. Эти динамо-машины являлись самыми крупными из предназначенных для морского применения. Каждый из генераторов приводился в движение трёхцилиндровой паровой компаунд-машиной мощностью 580 л. с. Двигатели имели один цилиндр высокого давления диаметром 43 см, в который пар поступал под давлением 13 атм, и два низкого диаметром 50 см. Частота вращения составляла 325 об/мин."|"tags";RMS Titanic;Конструкция;Судно;Электричество
